781,324
982,401
581,324
507,333
660,248
35,813
105,671
158,570
233,423
275,327
331,358
361,359
349,323
331,218
395,138
408,156
434,342
446,429
370,441
482,147
561,137
585,133
645,122
703,115
754,106
804,100
860,90
913,86
975,78
1031,71
1085,63
1138,58
1190,49
1247,40
1314,31
1323,99
1336,172
1345,257
1353,328
1359,361
1362,406
1294,415
1240,418
1189,429
1132,436
1086,444
1024,452
1371,447
1382,507
1397,610
1345,617
1325,618
1312,516
1304,463
1255,522
1276,267
1222,274
1171,282
1135,289
1131,396
1131,363
1139,340
1143,321
1270,628
1217,635
1164,639
1112,651
1054,661
999,664
945,673
893,681
837,690
783,697
711,707
636,717
559,731
489,736
415,752
340,762
265,776
145,791
185,727
246,632
242,595
208,597
237,560
144,695
274,456
301,459
293,433
312,586
327,660
250,673
400,645
386,577
458,564
475,641
549,625
536,551
534,522
523,460
512,421
516,399
588,389
600,452
621,613
693,605
769,593
822,583
880,578
928,572
986,564
1039,553
1100,547
1153,538
1201,529
609,514
682,498
614,567
754,491
762,545
804,485
862,478
914,470
1309,415
1320,411
967,460
416,230
489,221
563,210
594,204
658,196
707,192
768,180
815,173
872,165
923,156
982,148
1039,141
1094,135
1145,126
1201,119
1253,111
1263,182
1209,192
1158,198
1103,206
1046,211
988,219
936,228
885,236
827,244
769,250
717,259
670,307
678,375
673,440
689,433
748,444
797,437
854,427
903,422
959,412
838,310
888,304
944,296
999,290
1057,281
1058,296
1070,355
1070,403
1114,289
1181,388
1236,376
1290,369
1289,339
496,270
574,260
254,157
267,36
326,34
318,140
386,39
382,124
476,68
540,56
576,55
568,95
617,90
612,51
641,45
208,63
143,113
664,269
